State,TypeCode,CECPlantID,EIAPlantID,Unit,LastOfCapacity,Aging,OTC,Peaker,PMCC,NewCombinedCycleUnit,CombinedCycle,StartDate,MaxOfRetireDate,PrimeMoverID,PrimeMoverDesc,PriEnergySource,Description
CA,E,E0088,50301,GEN1,28,0,0,0,0,0,0,1/1/1966 0:00,12/31/2003 0:00,ST,Steam Turbine,OGW,"Other gases, waste products"
CA,E,E0089,Missing,BBC 13.4,13.4,0,0,0,0,0,0,7/15/2000 0:00,1/31/2006 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0094,10387,Unit 1,1.2,0,0,0,0,0,0,5/13/2011 0:00,,GT,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0094,10387,Unit 1old,0.88,0,0,0,0,0,0,12/1/1985 0:00,5/12/2011 0:00,GT,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0094,10387,Unit 2,1.2,0,0,0,0,0,0,5/13/2011 0:00,,GT,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0094,10387,Unit 2old,0.88,0,0,0,0,0,0,12/1/1985 0:00,5/12/2011 0:00,GT,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0094,10387,Unit 3,3,0,0,0,0,0,0,3/1/2004 0:00,,GT,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0095,55603,Unit 1,3.05,0,0,0,0,0,0,8/1/2000 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0096,10502,GEN 1,23,0,0,0,0,0,0,4/26/1990 0:00,6/1/2019 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0097,10764,GEN1,13.8,0,0,0,0,0,0,7/1/1985 0:00,12/31/2001 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0097,10764,GEN1-Repower,13.8,0,0,0,0,0,0,4/30/2010 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0098,10767,Unit 1,27.8,0,0,0,0,0,0,7/1/1988 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0099,10772,Unit 1,27.8,0,0,0,0,0,0,6/1/1989 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0100,50560,1,25.66,0,0,0,0,0,0,6/1/1985 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0101,55160,Gen 1-2,1.8,0,0,0,0,0,0,5/1/1998 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0102,50293,UNIT 1,29.07,0,0,0,0,0,0,5/1/1990 0:00,,ST,Steam Turbine,AB,Agriculture Crop Byproducts/Straw/Energy Crops
CA,E,E0105,10836,Unit 1,28,0,0,0,0,0,0,9/1/1989 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0106,50571,1,3.2,0,0,0,0,0,0,3/1/1989 0:00,,GT,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0106,50571,2,3.2,0,0,0,0,0,0,3/1/1989 0:00,,GT,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0106,50571,3,1.3,0,0,0,0,0,0,6/30/2004 0:00,,IC,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0106,50571,4,1.3,0,0,0,0,0,0,6/30/2004 0:00,,IC,Combustion (gas) Turbine,LFG,Landfill Gas
CA,E,E0109,10648,Gen 1-3,5.63,0,0,0,0,0,0,12/1/1985 0:00,,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0110,57971,1,2.1,0,0,0,0,0,0,7/1/2002 0:00,,IC,"Internal Combustion Engine (diesel, piston)",OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0112,50837,1,34.6,0,0,0,0,0,0,7/9/1987 0:00,,ST,Steam Turbine,MSW,Municipal Solid Waste
CA,E,E0113,10090,1,11.5,0,0,0,0,0,0,11/1/1986 0:00,6/30/2018 0:00,ST,Steam Turbine,MSW,Municipal Solid Waste
CA,E,E0117,10395,Unit 1,20,0,0,0,0,0,0,4/1/1989 0:00,12/28/2015 0:00,ST,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0118,10392,Unit 1,0.88,0,0,0,0,0,0,12/1/1985 0:00,10/24/2013 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0118,10392,Unit 2,0.88,0,0,0,0,0,0,12/1/1985 0:00,10/24/2013 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0120,10390,Unit 1,0.5,0,0,0,0,0,0,4/1/1984 0:00,12/6/2013 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
